tcprimarysectorid,year,GHG_Scope1,GHG_Scope1_Intensity,GHG_Scope2,GHG_Scope2_Intensity,Absolute_Direct_Indirect,Revenue,GHG_Scope1_Disclosure,GHG_Scope2_Disclosure,ticker,Company.Name
523000,2014,8964.1144,0.4919050357,209722,12.1948069,52.97754317,16033,Exact Value from CDP,Exact Value from CDP,BK,The Bank of New York Mellon Corporation
523000,2015,7502.0437,0.559103998,185983,13.08064617,49.62729529,15251,Exact Value from CDP,Exact Value from CDP,BK,The Bank of New York Mellon Corporation
523000,2012,10301.55195,0.6849891582,213964.3937,14.22730193,50.20665223,15039,Exact Value from CDP,Exact Value from CDP,BK,The Bank of New York Mellon Corporation
523000,2013,10766.14389,0.7012404017,211547.9328,13.77893133,50.40026524,15353,Exact Value from CDP,Exact Value from CDP,BK,The Bank of New York Mellon Corporation
523000,2016,9011.0187,0.5905379579,170087,11.14666754,52.72111055,15259,Exact Value from CDP,Exact Value from CDP,BK,The Bank of New York Mellon Corporation
523000,2017,9017.6222,0.5797622605,146657,9.428892889,55.76676266,15554,Exact Value from CDP,Exact Value from CDP,BK,The Bank of New York Mellon Corporation
523000,2018,8005.886,0.488,142245.23,8.67,57.684,16406,Exact Value from CDP,Exact Value from CDP,BK,The Bank of New York Mellon Corporation
523000,2019,8101.871,0.492,130293.62,7.905,55.351,16482,Value derived from data provided in CDP,Exact Value from CDP,BK,The Bank of New York Mellon Corporation
52A000,2019,162.4586661,0.7066216029,562.5904802,2.447013732,0.6095191364,229.909,Estimated data,Estimated data,BMTC,Bryn Mawr Bank Corporation
52A000,2018,171.6583666,0.7613931358,608.8380824,2.700510006,0.6205431628,225.453,Estimated data,Estimated data,BMTC,Bryn Mawr Bank Corporation
52A000,2017,146.4999009,0.8402006212,509.2606643,2.920692259,0.4809346426,174.363,Estimated data,Estimated data,BMTC,Bryn Mawr Bank Corporation
52A000,2016,150.8416438,0.9402451179,436.3553195,2.719944894,0.4157202072,160.428,Estimated data,Estimated data,BMTC,Bryn Mawr Bank Corporation
52A000,2016,606.8197965,0.9868240143,1322.170451,2.150143354,1.548652933,614.922,Estimated data,Estimated data,BOH,Bank of Hawaii Corporation
52A000,2017,562.2065968,0.8748186768,1497.758631,2.330579597,1.723947189,642.655,Estimated data,Estimated data,BOH,Bank of Hawaii Corporation
52A000,2012,568.7081984,0.9845544698,955.2616261,1.653760411,1.333167956,577.63,Estimated data,Estimated data,BOH,Bank of Hawaii Corporation
52A000,2013,526.7879892,0.9663529602,910.4470276,1.670146621,1.242263248,545.13,Estimated data,Estimated data,BOH,Bank of Hawaii Corporation
52A000,2014,674.7410755,1.205605224,1073.047432,1.917285958,1.288028666,559.67,Estimated data,Estimated data,BOH,Bank of Hawaii Corporation
52A000,2015,641.1635854,1.104871543,1439.097045,2.479893443,1.357863408,580.306,Estimated data,Estimated data,BOH,Bank of Hawaii Corporation
52A000,2018,518.4820017,0.786516652,1508.521526,2.28836738,1.779086995,659.213,Estimated data,Estimated data,BOH,Bank of Hawaii Corporation
52A000,2019,500.6270452,0.7306045553,1401.795483,2.045750774,1.780002809,685.223,Estimated data,Estimated data,BOH,Bank of Hawaii Corporation
52A000,2019,1827.551,0.742,4553.877,1.85,6.378,2461.94,Estimated data,Estimated data,BPOP,"Popular, Inc."
52A000,2018,1845.097862,0.7994839646,4790.295724,2.075643084,6.16458999,2307.861,Estimated data,Estimated data,BPOP,"Popular, Inc."
52A000,2015,2298.176285,1.204377441,3734.293328,1.928431332,4.454233782,1966.32,Estimated data,Estimated data,BPOP,"Popular, Inc."
52A000,2014,1772.542498,1.168770233,2838.168813,1.899127979,3.389189531,1471.75,Estimated data,Estimated data,BPOP,"Popular, Inc."
52A000,2019,1827.551,0.742,4553.877,1.85,6.378,2461.94,Estimated data,Estimated data,BPOP,"Popular, Inc."
52A000,2018,1845.097862,0.7994839646,4790.295724,2.075643084,6.16458999,2307.861,Estimated data,Estimated data,BPOP,"Popular, Inc."
52A000,2015,2298.176285,1.204377441,3734.293328,1.928431332,4.454233782,1966.32,Estimated data,Estimated data,BPOP,"Popular, Inc."
52A000,2014,1772.542498,1.168770233,2838.168813,1.899127979,3.389189531,1471.75,Estimated data,Estimated data,BPOP,"Popular, Inc."
52A000,2012,1834.477173,0.9476780229,4057.77218,2.096216608,4.581296241,1935.759961,Estimated data,Estimated data,BPOP,"Popular, Inc."
52A000,2013,2132.699492,0.8795108569,6576.50889,2.71210782,5.860851765,2424.87,Estimated data,Estimated data,BPOP,"Popular, Inc."
52A000,2017,1727.038077,0.8797459528,4410.298113,2.24658736,5.244968064,1963.11,Estimated data,Estimated data,BPOP,"Popular, Inc."
52A000,2016,1926.747303,0.9900815975,4106.733982,2.110293205,4.891118395,1946.049,Estimated data,Estimated data,BPOP,"Popular, Inc."
52A000,2012,1834.477173,0.9476780229,4057.77218,2.096216608,4.581296241,1935.759961,Estimated data,Estimated data,BPOP,"Popular, Inc."
52A000,2013,2132.699492,0.8795108569,6576.50889,2.71210782,5.860851765,2424.87,Estimated data,Estimated data,BPOP,"Popular, Inc."
52A000,2017,1727.038077,0.8797459528,4410.298113,2.24658736,5.244968064,1963.11,Estimated data,Estimated data,BPOP,"Popular, Inc."
52A000,2016,1926.747303,0.9900815975,4106.733982,2.110293205,4.891118395,1946.049,Estimated data,Estimated data,BPOP,"Popular, Inc."
52A000,2016,485.6272461,1.076206112,476.8381685,1.0567285,1.073333106,451.24,Estimated data,Estimated data,CATY,Cathay General Bancorp
52A000,2017,502.4507363,0.9444385186,608.5199848,1.143813058,1.346146192,532.01,Estimated data,Estimated data,CATY,Cathay General Bancorp
52A000,2018,486.6150743,0.8573113643,639.6945265,1.127004518,1.446090025,567.606,Estimated data,Estimated data,CATY,Cathay General Bancorp
52A000,2019,496.1298342,0.7917087565,641.3243623,1.023405726,1.542553547,626.657,Estimated data,Estimated data,CATY,Cathay General Bancorp
52A000,2019,1228.0803,2.099605222,1348.724044,2.305865541,1.707773,584.9101,Estimated data,Estimated data,CBU,"Community Bank System, Inc."
52A000,2018,1203.766692,2.113985374,1439.300433,2.527616095,1.71640128,569.43,Estimated data,Estimated data,CBU,"Community Bank System, Inc."
52A000,2017,1143.803651,2.207731574,1295.958234,2.501415264,1.543267166,518.09,Estimated data,Estimated data,CBU,"Community Bank System, Inc."
52A000,2016,826.3556804,1.923900532,931.2872792,2.168199644,1.161361293,429.521,Estimated data,Estimated data,CBU,"Community Bank System, Inc."
52A000,2016,1141.495674,1.013722087,2050.636629,1.821098135,2.788508923,1126.044,Estimated data,Estimated data,CFR,"Cullen/Frost Bankers, Inc."
52A000,2017,1079.715628,0.8939279092,2421.507429,2.004836289,3.189588921,1207.833,Estimated data,Estimated data,CFR,"Cullen/Frost Bankers, Inc."
52A000,2013,949.3320716,1.043769858,857.928808,0.9432739681,2.013488776,923.373,Estimated data,Estimated data,CFR,"Cullen/Frost Bankers, Inc."
52A000,2012,932.7628462,1.02811331,842.954895,0.9291248585,1.978346227,893.648,Estimated data,Estimated data,CFR,"Cullen/Frost Bankers, Inc."
52A000,2014,1209.926281,1.176923194,1969.093606,1.825026959,2.322576218,1007.078008,Estimated data,Estimated data,CFR,"Cullen/Frost Bankers, Inc."
52A000,2015,1253.849248,1.201422602,1944.314371,1.955254301,2.403179449,1065.362,Estimated data,Estimated data,CFR,"Cullen/Frost Bankers, Inc."
52A000,2018,1096.05952,0.8371147992,1909.425019,1.45832221,3.392222498,1309.33,Estimated data,Estimated data,CFR,"Cullen/Frost Bankers, Inc."
52A000,2019,1060.193177,0.7750477019,1781.240258,1.302164737,3.417961996,1367.907,Estimated data,Estimated data,CFR,"Cullen/Frost Bankers, Inc."
52A000,2019,181.9750494,0.7917087565,235.2308296,1.023405726,0.565791933,229.851,Estimated data,Estimated data,CHCO,City Holding Company
52A000,2018,170.4875098,0.8573113643,224.1194995,1.127004518,0.5066433417,198.863,Estimated data,Estimated data,CHCO,City Holding Company
52A000,2017,179.1883201,0.9444385186,217.0156514,1.143813058,0.4800742786,189.73,Estimated data,Estimated data,CHCO,City Holding Company
52A000,2016,191.3171606,1.076206112,187.8546255,1.0567285,0.4228490963,177.77,Estimated data,Estimated data,CHCO,City Holding Company
52A000,2016,541.7944431,1.076206112,531.9888289,1.0567285,1.197473818,503.43,Estimated data,Estimated data,CHFC,Chemical Financial Corporation
52A000,2017,662.6152313,0.9444385186,802.4958097,1.143813058,1.775252589,701.597,Estimated data,Estimated data,CHFC,Chemical Financial Corporation
52A000,2018,669.4478677,0.8573113643,880.0428911,1.127004518,1.989420252,780.869,Estimated data,Estimated data,CHFC,Chemical Financial Corporation
52A000,2018,83100.7257,0.7621891247,739458,6.782213284,344.1417751,109029.01,Exact Value from CDP,Exact Value from CDP,JPM,JPMorgan Chase & Co.
52A000,2019,81654.9999,0.7061931893,692299,5.987347246,348.0544105,115627,Exact Value from CDP,Exact Value from CDP,JPM,JPMorgan Chase & Co.
52A000,2017,78229.0249,0.7852428406,770704,7.736128617,316.4951826,99623.99,Value derived from data provided in Environmental/CSR,Exact Value from Environmental/CSR,JPM,JPMorgan Chase & Co.
52A000,2016,79556.141,0.8315865858,906093,9.471233456,291.4905832,95667.8984,Exact Value from CDP,Exact Value from CDP,JPM,JPMorgan Chase & Co.
52A000,2014,89248.05692,0.88221572,1073549,9.026896721,278.0877785,94204.9994,Value derived from data provided in Environmental/CSR,Exact Value from Environmental/CSR,JPM,JPMorgan Chase & Co.
52A000,2015,82525.1051,0.9473813225,844403,11.3958814,262.5892275,93543,Value derived from data provided in Environmental/CSR,Exact Value from Environmental/CSR,JPM,JPMorgan Chase & Co.
52A000,2012,83343.0365,0.8896955782,1219748,11.30942207,296.7156743,97031,Exact Value from CDP,Exact Value from CDP,JPM,JPMorgan Chase & Co.
523000,2013,85949.9288,0.8589320578,1092558,12.57070421,289.6656423,96605.9975,Exact Value from CDP,Exact Value from CDP,JPM,JPMorgan Chase & Co.
52A000,2012,7744.906935,3.041990185,74784,29.37313462,8.604474049,2545.999975,Exact Value from CDP,Exact Value from CDP,CMA,Comerica Incorporated
52A000,2013,8620.489999,3.449575944,68932.04151,27.58385106,8.242232951,2498.999917,Exact Value from personal communication,Exact Value from CDP,CMA,Comerica Incorporated
52A000,2015,8475.454657,3.681478079,60965,25.63495781,8.322069307,2741.000088,Exact Value from CDP,Exact Value from CDP,CMA,Comerica Incorporated
52A000,2014,9288.3694,3.092103023,64677,22.24188181,8.225457793,2523.000056,Exact Value from CDP,Exact Value from CDP,CMA,Comerica Incorporated
52A000,2016,6882.875317,2.412504492,56723,19.88187872,9.028687307,2853,Exact Value from CDP,Exact Value from CDP,CMA,Comerica Incorporated
52A000,2017,6144.973415,1.937866104,51629.46875,16.28176246,10.12383928,3171,Exact Value from CDP,Exact Value from CDP,CMA,Comerica Incorporated
52A000,2019,6528.573965,1.921864576,35564.33984,10.46933761,9.921138982,3397,Value derived from data provided in CDP,Exact Value from CDP,CMA,Comerica Incorporated
52A000,2018,6235.066294,1.862882628,39916,11.92590736,10.20305987,3346.999,Exact Value from CDP,Exact Value from CDP,CMA,Comerica Incorporated
52A000,2018,93.29605191,0.8573113643,122.6451397,1.127004518,0.2772509467,108.824,Estimated data,Estimated data,CNBK.A,"Century Bancorp, Inc."
52A000,2019,90.40363949,0.7917087565,116.8606531,1.023405726,0.2810805663,114.188,Estimated data,Estimated data,CNBK.A,"Century Bancorp, Inc."
52A000,2017,96.49139457,0.9444385186,116.8610925,1.143813058,0.2585159379,102.168,Estimated data,Estimated data,CNBK.A,"Century Bancorp, Inc."
52A000,2016,97.18571677,1.076206112,95.42681049,1.0567285,0.2147998244,90.304,Estimated data,Estimated data,CNBK.A,"Century Bancorp, Inc."
52A000,2016,198.0958887,0.9891638557,424.86832,2.121519978,0.5036277262,200.266,Estimated data,Estimated data,CPF,Central Pacific Financial Corp.
52A000,2017,181.5371517,0.8829370335,450.7276173,2.192190974,0.5478961633,205.606,Estimated data,Estimated data,CPF,Central Pacific Financial Corp.
52A000,2019,171.8006251,0.7601124903,350.793972,1.552048367,0.5722725733,226.02,Estimated data,Estimated data,CPF,Central Pacific Financial Corp.
52A000,2018,172.2222362,0.8120587709,396.4552546,1.86935772,0.5608031222,212.081,Estimated data,Estimated data,CPF,Central Pacific Financial Corp.
522A00,2018,403.6494204,1.028338048,3322.221113,8.46369696,1.458570009,392.526,Estimated data,Estimated data,CVBF,CVB Financial Corp.
522A00,2019,480.6093972,0.9712930459,3802.981998,7.685679867,1.763512776,494.814,Estimated data,Estimated data,CVBF,CVB Financial Corp.
52A000,2017,265.622643,0.8274075414,1111.057007,3.460913331,0.909926353,321.03,Estimated data,Estimated data,CVBF,CVB Financial Corp.
52A000,2016,268.6627707,0.9180940183,931.6462792,3.183689627,0.7772010758,292.631,Estimated data,Estimated data,CVBF,CVB Financial Corp.
52A000,2016,5647.1127,1.017312651,115498,20.80666401,17.6570148,5551.01,Exact Value from CDP,Exact Value from CDP,RF,Regions Financial Corporation
52A000,2017,5539.201458,0.9812580085,105978,18.77378211,18.33935349,5645,Exact Value from CDP,Exact Value from CDP,RF,Regions Financial Corporation
52A000,2014,6244.077819,1.224328984,9117.193489,1.787684998,11.67973895,5100,Estimated data,Estimated data,RF,Regions Financial Corporation
52A000,2015,6431.81807,1.195949809,9111.442085,1.694206412,12.07050993,5378,Estimated data,Estimated data,RF,Regions Financial Corporation
52A000,2012,5366.918412,0.9938756205,8373.300497,1.550614075,12.41633695,5399.99,Estimated data,Estimated data,RF,Regions Financial Corporation
52A000,2013,5171.338414,0.9792365473,8050.728465,1.52447334,11.95948543,5280.99,Estimated data,Estimated data,RF,Regions Financial Corporation
52A000,2019,6431.1269,1.089098544,92321,15.63437765,18.37228691,5905,Value derived from data provided in CDP,Exact Value from CDP,RF,Regions Financial Corporation
52A000,2018,6584.346199,1.143711343,102979,17.88761508,18.85687356,5757,Exact Value from CDP,Exact Value from CDP,RF,Regions Financial Corporation
52A000,2018,1016.064772,0.8411132219,1863.140216,1.542334616,3.148532124,1208,Estimated data,Estimated data,FNB,F.N.B. Corporation
52A000,2019,935.9600578,0.7728819635,1544.974039,1.275783682,3.021956204,1211,Estimated data,Estimated data,FNB,F.N.B. Corporation
52A000,2017,1019.874102,0.9280998736,1839.0862,1.673594483,2.863287654,1098.884,Estimated data,Estimated data,FNB,F.N.B. Corporation
52A000,2016,837.9693809,1.043388598,1364.001858,1.698372302,1.983986205,803.123,Estimated data,Estimated data,FNB,F.N.B. Corporation
52A000,2016,172.020785,1.076206112,168.9074835,1.0567285,0.3802002562,159.84,Estimated data,Estimated data,FBNC,First Bancorp
52A000,2017,202.4734518,0.9444385186,245.2163623,1.143813058,0.5424588849,214.385,Estimated data,Estimated data,FBNC,First Bancorp
52A000,2019,218.4340293,0.7917087565,282.3596867,1.023405726,0.6791492136,275.902,Estimated data,Estimated data,FBNC,First Bancorp
52A000,2018,231.3274681,0.8573113643,304.0985021,1.127004518,0.6874434473,269.829,Estimated data,Estimated data,FBNC,First Bancorp
52A000,2018,5179.090943,0.8745509867,16820.40364,2.84032483,16.65654324,5922,Estimated data,Estimated data,MTB,M&T Bank Corporation
52A000,2019,4886.452,0.789,10598.977,1.712,15.898,6191.943004,Estimated data,Estimated data,MTB,M&T Bank Corporation
52A000,2017,5326.191319,0.9456701844,17305.77165,3.072655728,15.87855636,5632.187,Estimated data,Estimated data,MTB,M&T Bank Corporation
52A000,2016,5942.327502,1.038529397,17619.26946,3.079286573,15.33513524,5721.8674,Estimated data,Estimated data,MTB,M&T Bank Corporation
52A000,2012,4626.437852,1.067199431,11360.28265,2.620523082,10.76316769,4335.120239,Estimated data,Estimated data,MTB,M&T Bank Corporation
52A000,2013,4793.069643,1.050107757,11470.11588,2.512973639,11.11220574,4564.35981,Estimated data,Estimated data,MTB,M&T Bank Corporation
52A000,2014,5508.919404,1.231761826,13312.71194,2.976643724,11.06447118,4472.390107,Estimated data,Estimated data,MTB,M&T Bank Corporation
52A000,2015,5631.516937,1.202796429,13174.70848,2.813894106,11.32875975,4682.02,Estimated data,Estimated data,MTB,M&T Bank Corporation
52A000,2016,370.0373286,1.076206112,363.3402439,1.0567285,0.8178563257,343.835,Estimated data,Estimated data,FFBC,First Financial Bancorp.
52A000,2017,339.7022574,0.9444385186,411.4146872,1.143813058,0.9101168875,359.687,Estimated data,Estimated data,FFBC,First Financial Bancorp.
52A000,2019,487.7187204,0.7917087565,630.4516998,1.023405726,1.516401938,616.033,Estimated data,Estimated data,FFBC,First Financial Bancorp.
52A000,2018,473.9028613,0.8573113643,622.9833035,1.127004518,1.408312724,552.778,Estimated data,Estimated data,FFBC,First Financial Bancorp.
52A000,2017,72.66509962,0.9444385186,88.00497665,1.143813058,0.1946814684,76.94,Estimated data,Estimated data,FFKT,Farmers Capital Bank Corporation
52A000,2016,90.18822463,1.076206112,88.55596178,1.0567285,0.1993339707,83.802,Estimated data,Estimated data,FFKT,Farmers Capital Bank Corporation
52A000,2016,763.3239379,1.076206112,749.5089936,1.0567285,1.6870982,709.273,Estimated data,Estimated data,FHB,"First Hawaiian, Inc."
52A000,2017,693.6050924,0.9444385186,840.0277476,1.143813058,1.858279402,734.41,Estimated data,Estimated data,FHB,"First Hawaiian, Inc."
52A000,2018,653.5979285,0.8494948355,883.2646634,1.147997473,1.973620593,769.396,Estimated data,Estimated data,FHB,"First Hawaiian, Inc."
52A000,2019,592.8006436,0.7712231101,829.3830757,1.079012653,1.92864028,768.65,Estimated data,Estimated data,FHB,"First Hawaiian, Inc."
52A000,2016,763.3239379,1.076206112,749.5089936,1.0567285,1.6870982,709.273,Estimated data,Estimated data,FHB,"First Hawaiian, Inc."
52A000,2017,693.6050924,0.9444385186,840.0277476,1.143813058,1.858279402,734.41,Estimated data,Estimated data,FHB,"First Hawaiian, Inc."
52A000,2018,653.5979285,0.8494948355,883.2646634,1.147997473,1.973620593,769.396,Estimated data,Estimated data,FHB,"First Hawaiian, Inc."
52A000,2019,592.8006436,0.7712231101,829.3830757,1.079012653,1.92864028,768.65,Estimated data,Estimated data,FHB,"First Hawaiian, Inc."
52A000,2019,13233.0128,1.588025057,79417,9.530421217,25.00766798,8333,Value derived from data provided in Environmental/CSR,Exact Value from Environmental/CSR,FITB,Fifth Third Bancorp
52A000,2018,14046.8958,2.006983245,91519,13.07599218,22.66840508,6999.01,Exact Value from CDP,Exact Value from CDP,FITB,Fifth Third Bancorp
52A000,2017,12115.9494,1.725427143,94617,13.47436628,22.88774979,7022,Exact Value from CDP,Exact Value from CDP,FITB,Fifth Third Bancorp
52A000,2016,11727.006,1.858185074,119315,18.90587863,20.47978146,6311,Exact Value from CDP,Exact Value from CDP,FITB,Fifth Third Bancorp
52A000,2015,14882.11519,3.082416369,86807,14.14507674,18.6944768,6536,Exact Value from CDP,Exact Value from CDP,FITB,Fifth Third Bancorp
52A000,2014,18654.7829,2.276945408,85606,13.28136475,17.53279575,6051.999688,Exact Value from CDP,Exact Value from CDP,FITB,Fifth Third Bancorp
52A000,2012,12925.7864,2.462286372,156014,14.93076034,21.42884276,6594.000234,Exact Value from CDP,Exact Value from CDP,FITB,Fifth Third Bancorp
52A000,2013,16713.9997,1.960234447,101350,23.65999309,19.7823112,6787.999922,Exact Value from CDP,Value derived from data provided in CDP,FITB,Fifth Third Bancorp
52A000,2016,102.7776837,1.076206112,100.9175718,1.0567285,0.2271591871,95.5,Estimated data,Estimated data,FLIC,The First of Long Island Corporation
52A000,2017,99.40309852,0.9444385186,120.3874681,1.143813058,0.2663168603,105.251,Estimated data,Estimated data,FLIC,The First of Long Island Corporation
52A000,2018,98.75541068,0.8573113643,129.8219045,1.127004518,0.2934747028,115.192,Estimated data,Estimated data,FLIC,The First of Long Island Corporation
52A000,2019,87.70549605,0.7917087565,113.3728864,1.023405726,0.2726915712,110.78,Estimated data,Estimated data,FLIC,The First of Long Island Corporation
52A000,2019,351.0024938,0.7917087565,453.724882,1.023405726,1.09132752,443.348,Estimated data,Estimated data,FRME,First Merchants Corporation
52A000,2018,356.0551266,0.8573113643,468.0630084,1.127004518,1.058100733,415.316,Estimated data,Estimated data,FRME,First Merchants Corporation
52A000,2017,328.941325,0.9444385186,398.3820813,1.143813058,0.8812866217,348.293,Estimated data,Estimated data,FRME,First Merchants Corporation
52A000,2016,313.903494,1.076206112,308.2223421,1.0567285,0.6937893514,291.676,Estimated data,Estimated data,FRME,First Merchants Corporation
52A000,2016,1236.092181,0.9644395481,3106.731391,2.423973442,3.272704627,1281.668906,Estimated data,Estimated data,FHN,First Horizon Corporation
52A000,2017,1177.00384,0.8738859958,3160.382639,2.346478436,3.615756925,1346.862,Estimated data,Estimated data,FHN,First Horizon Corporation
52A000,2013,1124.594342,0.9197405332,2725.976798,2.229418431,2.877080247,1222.73,Estimated data,Estimated data,FHN,First Horizon Corporation
52A000,2012,1248.468216,0.9181263538,3332.581008,2.450787622,3.282123531,1359.8,Estimated data,Estimated data,FHN,First Horizon Corporation
52A000,2014,1378.33046,1.166169167,2689.212973,2.275272399,2.774096698,1181.930117,Estimated data,Estimated data,FHN,First Horizon Corporation
52A000,2015,1316.873151,1.122778442,2717.704421,2.317140366,2.719874701,1172.87,Estimated data,Estimated data,FHN,First Horizon Corporation
52A000,2018,1585.503677,0.814607765,3557.018779,1.827542351,5.1360932,1946.34,Estimated data,Estimated data,FHN,First Horizon Corporation
52A000,2019,1362.728574,0.7308697496,3806.090746,2.041313761,4.842385265,1864.53,Estimated data,Estimated data,FHN,First Horizon Corporation
52A000,2019,1477.58347,0.7917087565,1910.004622,1.023405726,4.594062814,1866.322,Estimated data,Estimated data,FULT,Fulton Financial Corporation
52A000,2018,1468.191149,0.8573113643,1930.054969,1.127004518,4.363071938,1712.553,Estimated data,Estimated data,FULT,Fulton Financial Corporation
52A000,2015,861.6354889,1.296801099,706.5351418,1.089442374,1.468905056,681.83,Estimated data,Estimated data,FULT,Fulton Financial Corporation
52A000,2014,884.7944217,1.263710146,743.3156373,1.03623358,1.498148948,682.29,Estimated data,Estimated data,FULT,Fulton Financial Corporation
52A000,2012,795.1230025,1.02811331,718.5672434,0.9291248585,1.686418577,761.78,Estimated data,Estimated data,FULT,Fulton Financial Corporation
52A000,2013,735.0804546,1.043769858,664.3056914,0.9432739681,1.55907115,714.98,Estimated data,Estimated data,FULT,Fulton Financial Corporation
52A000,2017,828.1214706,0.9444385186,1002.941041,1.143813058,2.218670376,876.84,Estimated data,Estimated data,FULT,Fulton Financial Corporation
52A000,2016,765.1287356,1.076206112,751.2811273,1.0567285,1.691087163,710.95,Estimated data,Estimated data,FULT,Fulton Financial Corporation
52A000,2016,67.45982774,1.076206112,66.23891258,1.0567285,0.1490996788,62.683,Estimated data,Estimated data,FRBK,"Republic First Bancorp, Inc."
52A000,2017,77.73673446,0.9444385186,94.14725277,1.143813058,0.2082691924,82.31,Estimated data,Estimated data,FRBK,"Republic First Bancorp, Inc."
52A000,2018,82.55308321,0.8573113643,108.5226461,1.127004518,0.2453257132,96.293,Estimated data,Estimated data,FRBK,"Republic First Bancorp, Inc."
52A000,2019,80.39406568,0.7917087565,103.9217345,1.023405726,0.2499590684,101.545,Estimated data,Estimated data,FRBK,"Republic First Bancorp, Inc."
52A000,2019,958.8574761,0.7917087565,1239.471237,1.023405726,2.981253895,1211.124,Estimated data,Estimated data,HWC,Hancock Whitney Corporation
52A000,2018,994.0182345,0.8573113643,1306.716659,1.127004518,2.953956689,1159.46,Estimated data,Estimated data,HWC,Hancock Whitney Corporation
52A000,2017,1001.189829,0.9444385186,1212.544784,1.143813058,2.682348295,1060.09,Estimated data,Estimated data,HWC,Hancock Whitney Corporation
52A000,2016,979.2399416,1.076206112,961.5172624,1.0567285,2.164315648,909.9,Estimated data,Estimated data,HWC,Hancock Whitney Corporation
52A000,2016,131.2314971,1.076206112,128.8564166,1.0567285,0.2900477918,121.939,Estimated data,Estimated data,IBCP,Independent Bank Corporation
52A000,2017,124.4014417,0.9444385186,150.6630559,1.143813058,0.3332914351,131.72,Estimated data,Estimated data,IBCP,Independent Bank Corporation
52A000,2018,135.5383548,0.8573113643,178.1760333,1.127004518,0.4027837878,158.097,Estimated data,Estimated data,IBCP,Independent Bank Corporation
52A000,2019,137.4826007,0.7917087565,177.7174746,1.023405726,0.4274572072,173.653,Estimated data,Estimated data,IBCP,Independent Bank Corporation
52A000,2019,402.528,0.792,520.329,1.023,1.252,508.429,Estimated data,Estimated data,INDB,Independent Bank Corp.
52A000,2018,331.4965852,0.8573113643,435.778837,1.127004518,0.985119308,386.67,Estimated data,Estimated data,INDB,Independent Bank Corp.
52A000,2017,322.8600853,0.9444385186,391.017069,1.143813058,0.8649940044,341.854,Estimated data,Estimated data,INDB,Independent Bank Corp.
